,x,y
0,8,1053.28125
1,9,1049.34375
2,10,1038.9203125
3,11,1028.01125
4,12,1017.7527500000001
5,13,1005.8272000000002
6,14,994.5367600000002
7,15,981.3481580000002
8,16,968.5004014000002
9,17,958.1128211200003
10,18,944.1152568960002
11,19,929.7453305168002
12,20,915.2962644134402
13,21,902.3151365307522
14,22,885.1763279746018
15,23,869.1410623796814
16,24,851.3362874037452
17,25,833.5377799229963
18,26,819.955223938397
19,27,805.0423041507177
20,28,791.4713433205742
21,29,777.8801996564594
22,30,768.6479097251676
23,31,763.2308277801341
24,32,756.9284122241073
25,33,742.3161672792859
26,34,725.4310588234288
27,35,706.5635970587431
28,36,688.0790026469945
29,37,670.1194521175956
30,38,648.0682179440765
31,39,613.4313809958862
32,40,577.636706359209
33,41,537.8686424311172
34,42,501.7167889448938
35,43,466.12343115591506
36,44,435.35186992473206
37,45,409.09399593978566
38,46,390.27519675182856
39,47,373.68890740146287
40,48,360.09175092117033
41,49,353.26090073693626
42,50,351.843095589549
43,51,356.5057264716392
44,52,363.73583117731135
45,53,374.4964774418491
46,54,384.48585382847926
47,55,388.74493306278345
48,56,383.03305582522677
49,57,373.2545696601814
50,58,357.35170260314516
51,59,333.58595192626615
52,60,309.82579279101293
53,61,283.38016548281036
54,62,259.40725738624826
55,63,235.96330590899862
56,64,214.6925197271989
57,65,195.92589078175914
58,66,180.80321262540733
59,67,170.45507010032586
60,68,159.3328060802607
61,69,149.77874486420856
62,70,142.02612089136684
63,71,134.8396467130935
64,72,128.43421737047478
65,73,116.96612389637983
66,74,108.88539911710387
67,75,101.10831929368311
68,76,96.19915543494649
69,77,95.77182434795719
70,78,97.61745947836576
71,79,98.65646758269261
72,80,101.2376740661541
73,81,103.30263925292329
74,82,104.84523640233863
75,83,106.07931412187091
76,84,107.17595129749674
77,85,107.0688860379974
78,86,105.34260883039792
79,87,103.74283706431834
80,88,106.15442590145467
81,89,114.86494697116373
82,90,132.94646197146224
83,91,161.41167397170102
84,92,196.2514094898608
85,93,232.94839321688863
86,94,268.1165270735109
87,95,299.3682216588087
88,96,327.86957732704695
89,97,345.0105056116376
90,98,351.42246698931007
91,99,342.7425878492606
92,100,328.7294706700335
93,101,316.7960765360268
94,102,309.43686122882144
95,103,303.11198898305713
96,104,300.2395911864457
97,105,298.59792294915655
98,106,296.62833835932526
99,107,298.8807956874602
100,108,306.8624490499682
101,109,317.02120923997455
102,110,318.58571739197964
103,111,308.0778024292087
104,112,292.65267163086696
105,113,276.7783873046936
106,114,262.7664598437549
107,115,248.71316787500393
108,116,234.51740930000315
109,117,217.96548994000253
110,118,202.80989195200203
111,119,189.59166356160165
112,120,174.6420808492813
113,121,162.02616467942505
114,122,153.68343174354004
115,123,147.44674539483202
116,124,141.58239631586562
117,125,133.7190420526925
118,126,126.443983642154
119,127,121.2801869137232
120,128,115.83664953097856
121,129,113.66931962478286
122,130,115.43545569982629
123,131,117.28586455986104
124,132,117.78181664788883
125,133,118.28795331831105
126,134,120.44286265464885
127,135,123.91679012371907
128,136,128.88343209897525
129,137,134.3879956791802
130,138,141.58070904334414
131,139,149.57706723467533
132,140,155.75540378774025
133,141,158.5105730301922
134,142,157.87095842415377
135,143,157.578016739323
136,144,157.1249133914584
137,145,158.9499307131667
138,146,165.16775707053336
139,147,173.2592056564267
140,148,175.57611452514138
141,149,178.7421416201131
142,150,183.24371329609048
143,151,188.15747063687238
144,152,194.2759765094979
145,153,198.73328120759834
146,154,203.3928749660787
147,155,207.77679997286296
148,156,211.7214399782904
149,157,220.6193394826323
150,158,235.25719033610585
151,159,250.98700226888468
152,160,272.38579322135774
153,161,303.43166008978153
154,162,338.5578280718252
155,163,375.51813745746017
156,164,401.99654121596814
157,165,420.25348297277446
158,166,429.55434887821957
159,167,432.34660410257567
160,168,428.12728328206055
161,169,416.27526412564845
162,170,385.8865748259094
163,171,349.87698447010257
164,172,313.5412360135821
165,173,281.2392388108657
166,174,253.75701604869255
167,175,229.47436283895405
168,176,206.98574027116325
169,177,181.9128109669306
170,178,161.06149877354449
171,179,144.1616990188356
172,180,130.53248421506848
173,181,121.92598737205479
174,182,112.85328989764383
175,183,105.48575691811507
176,184,99.59173053449206
177,185,98.04838442759365
178,186,95.39183254207492
179,187,93.26659103365994
180,188,91.67577282692795
181,189,91.49686826154236
182,190,89.16624460923389
183,191,86.42674568738711
