,x,y
0,8,1417.5
1,9,1415.3125
2,10,1414.65625
3,12,1407.3363281250001
4,13,1392.5253125000002
5,14,1373.2390000000003
6,15,1356.7162000000003
7,16,1334.7479600000004
8,17,1314.9858680000004
9,18,1293.1605694000004
10,19,1259.4034555200003
11,20,1214.7063581660002
12,21,1174.4916490328
13,22,1138.65581922624
14,23,1109.9871553809921
15,24,1086.8334743047938
16,25,1067.216779443835
17,26,1041.3515485550681
18,27,1017.4874888440545
19,28,999.4899910752437
20,29,989.466992860195
21,30,985.4407817881561
22,31,985.4463754305248
23,32,997.3180378444199
24,33,1012.1200552755358
25,35,1035.5554192204286
26,36,1058.555663501343
27,38,1082.2195308010744
28,39,1098.0881246408594
29,40,1109.4704997126876
30,41,1104.8344564107751
31,42,1078.61658856612
32,43,1057.143270852896
33,44,1028.3708666823168
34,45,996.2884902208534
35,46,969.7339171766828
36,47,951.0058837413462
37,48,939.824238243077
38,49,933.8593905944617
39,50,935.2125124755694
40,51,939.0293849804556
41,52,944.5985079843645
42,53,957.8038063874915
43,54,970.9930451099931
44,55,982.6381860879944
45,56,994.3605488703956
46,58,1003.0138297213166
47,59,1030.4852825270532
48,60,1053.8569760216426
49,61,1075.8355808173142
50,62,1089.9184646538513
51,63,1102.934771723081
52,64,1111.8165673784647
53,65,1120.4532539027718
54,66,1110.5051812472175
55,67,1086.352387185274
56,68,1041.0525213204849
57,69,991.5007084626379
58,70,946.8724417701104
59,71,899.4667034160884
60,72,857.8233627328708
61,73,822.7586901862967
62,74,795.1444521490374
63,75,774.91243671923
64,76,770.211199375384
65,77,772.6298970003072
66,78,777.3539176002458
67,80,779.1643840801967
68,81,782.5815072641574
69,82,786.627705811326
70,84,788.3334146490608
71,85,784.9128254692487
72,86,768.203697875399
73,87,751.5004583003192
74,88,739.4503666402554
75,90,725.5993558122044
76,91,710.8544846497635
77,93,690.7460877198108
78,94,674.5499951758487
79,95,663.452496140679
80,96,662.4494969125433
81,97,661.4283475300347
82,98,659.0801780240278
83,99,658.5141424192223
84,100,665.4988139353778
85,101,668.8990511483023
86,102,671.6192409186418
87,104,668.3266427349134
88,105,661.3175641879308
89,106,656.8040513503446
90,107,653.6307410802757
91,108,651.3108428642206
92,109,652.2986742913765
93,110,663.5889394331012
94,111,676.230526546481
95,112,688.8594212371848
96,114,708.300427614748
97,115,728.0778420917984
98,116,755.2474299234387
99,117,780.291693938751
100,118,804.4833551510009
101,119,811.9694966208008
102,120,814.2396597966407
103,121,813.2667278373126
104,122,803.2461947698501
105,123,792.5500808158802
106,124,782.7900646527041
107,125,761.5015829721633
108,126,741.8731413777307
109,127,726.0610131021846
110,129,708.5988104817477
111,130,694.1915483853982
112,131,679.1657387083186
113,132,664.957590966655
114,133,654.684822773324
115,134,650.4314519686592
116,135,654.6576615749274
117,136,657.1636292599419
118,137,656.6527784079535
119,138,658.3222227263628
120,139,658.7827781810903
121,140,661.7762225448722
122,141,666.7412905358977
123,143,674.2406886787182
124,144,678.9550509429746
125,145,673.5390407543797
126,146,669.2062326035037
127,147,663.9899860828031
128,148,660.2544888662425
129,149,651.578591092994
130,150,642.4503728743952
131,151,632.1946732995161
132,152,613.8182386396129
133,153,600.4295909116903
134,154,588.8436727293522
135,155,580.6686881834818
136,156,583.9724505467855
137,157,590.6349916874284
138,158,598.5079933499427
139,159,610.4938946799541
140,160,619.0982407439633
141,161,627.8410925951706
142,162,634.8353740761365
143,164,637.5323617609092
144,165,636.6821394087274
145,166,637.0957115269819
146,167,628.4578192215855
147,168,621.6568803772684
148,169,628.1380043018147
149,170,640.7330596914518
150,171,654.3364477531615
151,172,675.6918144525292
152,173,697.9440765620234
153,174,717.1677612496187
154,175,737.3592089996949
155,176,754.387367199756
156,177,769.3223937598049
157,178,782.5829150078439
158,179,794.9413320062752
159,180,797.2811906050201
160,181,798.8249524840162
161,182,789.888086987213
162,183,778.6370320897704
163,184,769.4721256718163
164,186,763.7808255374531
165,187,758.3527854299625
166,188,754.55722834397
167,189,744.0832826751761
168,190,736.5791261401408
169,191,732.7633009121126
