,x,y
0,8,998.854199632557
1,9,1004.2889165341112
2,10,991.5084853021888
3,11,996.693794020676
4,12,980.0782607145045
5,13,977.5909640400278
6,14,962.2018383459748
7,15,953.2464051696145
8,16,948.090496075615
9,17,929.653599820438
10,18,931.5740131073949
11,19,911.6666863844911
12,20,895.2017525817449
13,21,868.639120412831
14,22,848.8521043375374
15,23,828.7965917878535
16,24,821.808548269445
17,25,818.841384309186
18,26,795.6299492096358
19,27,769.5930326388554
20,28,749.2446514934264
21,29,748.741918498605
22,30,751.4287374081113
23,31,727.2233111731069
24,32,720.1038854329471
25,33,707.7881437008436
26,34,688.2449181999325
27,35,666.6344903446851
28,36,668.9532342837741
29,37,657.4137010612544
30,38,653.5965119748546
31,39,644.309481328557
32,40,625.0581215574184
33,41,601.9031657092199
34,42,557.333731220266
35,43,539.3837019421007
36,44,522.0596136911647
37,45,490.9832947098707
38,46,474.44089972206757
39,47,434.9722655572959
40,48,416.65457758482444
41,49,403.0233223971507
42,50,368.53598478600804
43,51,356.78083506275686
44,52,343.3807256818366
45,53,330.5482090120086
46,54,311.0649153709953
47,55,319.3542483687987
48,56,321.29712936770386
49,57,326.59407859981195
50,58,305.49805592722066
51,59,283.67644485942185
52,60,287.2539419378542
53,61,274.13232775822
54,62,264.6238860428182
55,63,241.7669685535816
56,64,228.64471577616573
57,65,206.23417923925405
58,66,190.76095467133393
59,67,170.4980810264944
60,68,162.64184251435276
61,69,150.84262258411218
62,70,124.49049734779732
63,71,119.71590325765257
64,72,120.47819932230473
65,73,97.69611667472618
66,74,82.79198555408053
67,75,84.31303163801063
68,76,83.79912046045898
69,77,76.75438932140104
70,78,68.34779329909786
71,79,46.343335478482544
72,80,36.4578329051464
73,81,32.34150650341184
74,82,33.718342408457644
75,83,21.143610218361797
76,84,25.808980849983833
77,85,30.932081803857876
78,86,33.17432543996869
79,87,32.539411291015
80,88,37.63031728878646
81,89,30.40054179748934
82,90,34.84855537416108
83,91,52.00679566410203
84,92,45.650275581964024
85,93,57.61183161448498
86,94,69.8274150515445
87,95,74.81174810189756
88,96,93.532406841176
89,97,110.21716825645191
90,98,122.69423984208483
91,99,148.18937271026456
92,100,150.3398967204178
93,101,159.88305365522538
94,102,171.16187195901256
95,103,174.95428821218013
96,104,187.3402499165167
97,105,197.73412005040234
98,106,191.06888325486636
99,107,177.90029178189172
100,108,175.9592137760906
101,109,194.51918366265724
102,110,191.41295370969567
103,111,188.7012912148744
104,112,189.47889506715887
105,113,197.39062917294734
106,114,192.15622568371163
107,115,198.3744587280346
108,116,197.71073148840543
109,117,195.85147218718726
110,118,177.38576437109947
111,119,172.94583063303224
112,120,158.1787805243657
113,121,131.9920752267465
114,122,108.69221153362152
115,123,112.67468951274387
116,124,116.02777147150222
117,125,116.5738902757029
118,126,112.51421308525798
119,127,99.50970410989933
120,128,96.81239968723374
121,129,74.78920581056425
122,130,61.391982314899685
123,131,53.932696181587566
124,132,55.782253135758864
125,133,54.58170865884754
126,134,40.710097937777505
127,135,48.318836087584565
128,136,50.219039855084404
129,137,34.349972620911615
130,138,38.04333506075558
131,139,52.58192742907806
132,140,62.689553469649766
133,141,73.37616547642064
134,142,71.21185479557663
135,143,81.37705688408334
136,144,85.25147861683183
137,145,84.64205755579938
138,146,80.13901607885096
139,147,89.85955427200048
140,148,82.18519576369145
141,149,93.63999253794564
142,150,97.48075274115567
143,151,81.54609109664547
144,152,77.1056082293263
145,153,72.78434971629339
146,154,81.39754373806625
147,155,88.95542918791053
148,156,87.31531560586677
149,157,105.74534602412201
150,158,113.18150802138037
151,159,130.52067836159262
152,160,150.1873071585656
153,161,158.5731119120896
154,162,184.6631922006932
155,163,198.6017076413471
156,164,218.21146165053818
157,165,238.30037136423573
158,166,266.7964668694718
159,167,283.52993763367544
160,168,293.594877541213
161,169,287.57064485558624
162,170,300.10050571608923
163,171,297.735951620636
164,172,293.36856250597185
165,173,276.7591359892322
166,174,251.00041848451224
167,175,242.42083471762913
168,176,221.85823487197916
169,177,206.18447884168143
170,178,169.55743468146918
171,179,148.92296477894544
172,180,127.58701127710981
173,181,117.48206704780824
174,182,114.0955773849761
175,183,88.37940024012816
176,184,74.99781185586426
177,185,48.89565860313893
178,186,27.373787716418356
179,187,22.412457411621464
180,188,31.483015952853115
181,189,13.130554360479318
182,190,-5.023880979817848
183,191,2.75424840387877
