,x,y
0,8,1680.0
1,9,1679.125
2,10,1676.6750000000002
3,12,1670.3400000000001
4,13,1664.3970000000002
5,14,1657.8926000000001
6,15,1650.06408
7,16,1639.8637640000002
8,17,1631.7035112000003
9,18,1620.5815589600004
10,19,1611.4652471680004
11,20,1598.0471977344005
12,21,1587.3127581875206
13,22,1577.8502065500165
14,24,1556.6629777400133
15,25,1536.1585071920108
16,27,1511.9893057536087
17,28,1488.3883196028871
18,29,1468.9606556823098
19,30,1440.184149545848
20,31,1413.6629446366785
21,32,1392.5553557093428
22,33,1361.6145970674743
23,34,1334.5104276539794
24,35,1301.2333421231835
25,36,1268.5960486985468
26,37,1241.5018389588374
27,38,1201.77276022957
28,39,1169.230708183656
29,40,1134.0095665469248
30,41,1105.83265323754
31,42,1080.666122590032
32,44,1063.1578980720255
33,45,1049.1513184576204
34,46,1034.0085547660963
35,47,1020.800593812877
36,48,1005.2029750503016
37,49,992.2873800402413
38,50,977.7986540321931
39,51,967.7389232257545
40,52,948.9723885806037
41,53,930.896660864483
42,54,914.4673286915864
43,55,891.1519879532692
44,56,872.3903403626155
45,57,858.0372722900925
46,59,852.351692832074
47,60,848.1313542656593
48,61,844.3175834125275
49,62,834.7040667300221
50,63,828.7632533840177
51,64,827.0731027072143
52,65,823.9709821657715
53,66,816.6767857326172
54,67,809.4195535860938
55,68,800.9887678688751
56,70,783.8535142951001
57,71,772.3328114360802
58,73,749.1162491488642
59,74,728.3554993190913
60,75,713.0593994552731
61,76,698.1975195642185
62,77,682.3705156513748
63,78,671.0214125210999
64,79,658.00463001688
65,80,647.153704013504
66,81,631.0354632108032
67,82,619.2346205686425
68,83,607.934571454914
69,85,596.1601571639312
70,86,586.740625731145
71,87,580.955000584916
72,88,578.5140004679328
73,90,578.7487003743462
74,91,580.030210299477
75,92,582.3679182395815
76,95,587.5193345916653
77,96,592.5154676733322
78,97,584.0436241386658
79,98,574.8598993109326
80,99,567.5129194487461
81,101,555.8384605589969
82,102,545.7332684471975
83,103,535.461614757758
84,105,522.3224168062063
85,106,511.81105844496506
86,107,505.698846755972
87,109,508.24657740477755
88,110,510.7222619238221
89,111,510.0778095390576
90,112,504.3122476312461
91,113,499.26229810499694
92,114,495.1129634839976
93,115,494.090370787198
94,117,492.83479662975844
95,118,490.9553373038068
96,119,486.71739484304544
97,121,484.31141587443636
98,122,480.4178826995491
99,123,477.9593061596393
100,125,465.65650742771146
101,126,453.9002059421692
102,127,441.87016475373537
103,128,433.9961318029883
104,129,428.3531554423907
105,130,426.6825243539126
106,131,423.1585194831301
107,133,422.0893155865041
108,134,421.1245774692033
109,135,423.5246619753627
110,136,425.4447295802902
111,137,436.60578366423215
112,138,446.8471269313857
113,139,455.4777015451085
114,141,461.28841123608686
115,142,463.0932289888695
116,143,464.42770819109563
117,145,470.41716655287655
118,146,475.64623324230126
119,147,479.829486593841
120,148,485.36358927507285
121,149,482.3533714200583
122,150,479.94519713604666
123,151,476.26865770883734
124,152,475.5149261670699
125,153,470.97444093365596
126,154,462.80299024692476
127,155,457.74239219753986
128,156,441.3345387580319
129,157,424.27075600642553
130,158,410.5103548051404
131,160,406.72078384411236
132,161,400.1891270752899
133,162,395.4013016602319
134,164,388.6726038281856
135,165,384.43808306254846
136,166,378.8629664500388
137,167,367.40287316003105
138,168,355.82854852802484
139,169,342.74096382241987
140,170,331.9427710579359
141,171,325.4917168463487
142,172,323.22931097707897
143,173,324.4271987816632
144,175,331.9480090253306
145,176,337.3084072202645
146,177,344.2217257762116
147,179,348.3305056209693
148,180,352.16440449677543
149,181,356.98152359742033
150,183,360.99928137793626
151,184,363.502550102349
152,185,365.6145400818792
153,186,361.6166320655034
154,187,361.4808056524027
155,188,370.55964452192217
156,189,385.02779374253777
157,190,399.0222349940302
