,x,y
0,8,869.53125
1,9,863.8984375
2,10,851.0250000000001
3,11,837.0075000000002
4,12,820.1606875000002
5,13,798.2613625000002
6,14,776.0934650000003
7,15,756.9372720000002
8,16,722.5742316625002
9,17,683.9343853300002
10,18,649.4131332640002
11,19,624.0930066112002
12,21,610.9462802889601
13,22,600.1007742311681
14,23,589.4556193849345
15,25,587.6113705079476
16,26,606.7770846876081
17,27,634.8603884532115
18,28,661.0133107625692
19,29,679.3106486100554
20,31,693.9485188880443
21,32,711.4010026104355
22,33,737.5583020883485
23,34,759.5778916706788
24,35,773.0373133365431
25,36,775.6290694192345
26,37,766.8470055353877
27,38,754.0244794283102
28,39,732.8289585426481
29,40,707.4506668341186
30,41,676.6480334672949
31,42,642.517645523836
32,43,598.2055226690688
33,44,558.9550431352551
34,45,508.7353235707041
35,46,469.98825885656333
36,47,424.8812320852507
37,48,384.3112356682006
38,49,352.9489885345605
39,50,319.98419082764843
40,51,291.4248526621187
41,52,267.26488212969497
42,53,247.936905703756
43,54,225.91202456300482
44,55,207.85461965040386
45,56,191.2211957203231
46,57,176.6019565762585
47,59,164.0315652610068
48,60,152.88150220880544
49,61,156.92238926704437
50,62,166.9363489136355
51,63,177.2990791309084
52,64,195.05020080472673
53,65,214.2276606437814
54,67,239.3586910150251
55,68,264.0572653120201
56,69,286.49581224961605
57,70,297.85680604969286
58,71,302.7073198397543
59,72,297.72835587180344
60,73,291.22955969744277
61,74,284.3898977579542
62,76,267.92598070636336
63,77,252.2939095650907
64,79,231.58512765207257
65,80,216.98685212165807
66,81,208.58948169732648
67,82,202.7465853578612
68,83,193.25976828628896
69,84,185.23281462903117
70,85,177.06125170322494
71,86,169.64900136257995
72,87,161.96920109006396
73,88,155.27848587205116
74,89,149.16028869764094
75,90,144.70323095811275
76,91,134.1375847664902
77,92,124.37256781319216
78,93,116.45117925055374
79,94,110.00469340044299
80,96,104.9568797203544
81,97,100.91862877628353
82,98,97.79740302102682
83,99,104.21448491682145
84,100,116.59424418345716
85,101,129.15039534676572
86,102,149.5312537774126
87,103,178.25000302193007
88,104,206.69375241754403
89,105,234.48000193403522
90,106,254.95900154722818
91,107,276.59220123778255
92,108,295.70344849022604
93,109,298.22291504218083
94,110,295.6720820337447
95,111,293.41266562699576
96,112,276.7027887515966
97,113,260.7372310012773
98,114,234.73040980102184
99,115,213.59682784081747
100,116,196.416524772654
101,117,175.5082198181232
102,118,157.90657585449856
103,119,143.27838568359886
104,120,131.4664585468791
105,122,122.12629183750329
106,123,114.65415847000264
107,124,108.56707677600212
108,126,103.9161614208017
109,127,100.19542913664137
110,128,97.1094683093131
111,129,94.53132464745049
112,130,104.3906847179604
113,131,113.91879777436833
114,132,131.82253821949467
115,133,147.45803057559573
116,134,159.9664244604766
117,135,167.34813956838127
118,137,175.22226165470502
119,138,182.17780932376402
120,139,185.55474745901122
121,140,172.71821202970898
122,141,162.01831962376718
123,142,156.95840569901375
124,143,155.316724559211
125,144,160.1283796473688
126,145,166.60270371789505
127,146,171.78216297431604
128,147,173.30073037945283
129,148,175.39058430356226
130,149,176.51559244284982
131,150,177.52497395427986
132,151,179.6449791634239
133,152,166.01481145573914
134,153,152.0618491645913
135,154,143.52447933167304
136,155,138.55395846533844
137,156,137.53066677227076
138,157,138.4620334178166
139,158,147.08212673425328
140,159,156.16570138740263
141,160,163.43256110992212
142,161,166.6210488879377
143,163,166.71090161035016
144,164,163.22809628828014
145,165,162.08247703062412
146,166,152.1972316244993
147,167,142.21091029959945
148,168,131.26872823967955
149,169,122.51498259174365
150,170,122.62136107339492
151,171,125.87833885871595
152,172,131.32767108697277
153,174,136.9996368695782
154,175,142.84970949566258
155,176,147.52976759653006
156,177,148.64881407722405
157,178,146.70030126177923
158,179,144.0477410094234
159,180,153.06827093253872
160,181,170.42538090618723
161,182,196.16842972494976
162,183,238.30974377995983
163,184,275.3040450239679
164,186,307.74323601917433
165,187,335.00708881533944
166,188,359.88067105227157
167,189,370.5373493418173
168,190,373.2931607234538
169,191,359.8845285787631
