,x,y
0,8,1467.8125
1,9,1467.703125
2,10,1467.6156250000001
3,11,1469.8425000000002
4,12,1468.1240000000003
5,13,1466.2023250000002
6,14,1466.9618600000001
7,15,1465.381988
8,17,1464.5555904
9,18,1463.01947232
10,19,1458.728077856
11,20,1455.2949622848
12,21,1450.36096982784
13,22,1445.1012758622721
14,23,1442.2060206898177
15,24,1439.0148165518542
16,25,1431.2118532414834
17,26,1424.5319825931867
18,27,1418.0943360745493
19,28,1412.2879688596395
20,29,1407.6428750877117
21,30,1403.9268000701693
22,31,1399.2039400561355
23,32,1396.5194020449085
24,33,1393.7155216359267
25,35,1387.9724173087413
26,36,1382.721683846993
27,37,1376.5523470775945
28,38,1363.7418776620757
29,39,1354.1497521296606
30,40,1344.0698017037284
31,41,1336.005841362983
32,43,1325.6171730903864
33,44,1319.4937384723091
34,45,1311.9699907778474
35,47,1292.825992622278
36,48,1276.6357940978223
37,49,1253.183635278258
38,50,1232.8906582226064
39,51,1214.468776578085
40,53,1193.387521262468
41,54,1176.9600170099743
42,55,1158.1305136079795
43,56,1142.8481608863835
44,57,1135.653528709107
45,58,1131.6478229672855
46,59,1132.0526333738285
47,61,1137.0796066990629
48,62,1139.2418103592504
49,63,1138.6746982874004
50,64,1133.8460086299203
51,65,1125.3893069039364
52,68,1115.0145705231491
53,70,1091.5116564185194
54,71,1068.7718251348156
55,72,1046.6424601078525
56,73,1020.626468086282
57,74,1000.6886744690256
58,75,982.1134395752206
59,76,969.4407516601765
60,77,950.3338513281412
61,78,931.3295810625131
62,79,916.1261648500105
63,80,912.2759318800084
64,81,910.5082455040068
65,82,912.9769089032055
66,84,917.1940271225644
67,85,920.4583466980516
68,86,922.3041773584414
69,87,916.3433418867531
70,88,902.0590485094026
71,89,891.3972388075222
72,90,867.2818535460178
73,91,845.6379828368143
74,93,819.4635112694515
75,94,802.1333090155613
76,95,786.5191472124491
77,96,774.4653177699593
78,97,765.6972542159674
79,98,760.432803372774
80,99,752.3931176982192
81,100,747.1644941585754
82,101,733.7940953268603
83,102,718.5587137614883
84,103,697.7844710091907
85,104,674.6025768073526
86,105,652.2289364458821
87,106,623.0643991567057
88,107,597.1077693253645
89,108,575.6862154602916
90,109,546.0802223682333
91,110,519.7704278945866
92,111,497.6288423156693
93,113,473.3530738525355
94,114,450.7605840820284
95,115,433.2334672656227
96,116,412.2117738124982
97,117,395.8319190499986
98,118,382.7280352399989
99,119,370.6043031919991
100,121,359.04594255359933
101,122,352.42425404287945
102,123,347.3456532343036
103,125,351.4858975874429
104,126,357.3137180699543
105,127,361.10097445596347
106,128,360.63077956477076
107,129,359.70774865181664
108,130,363.01619892145334
109,131,363.47545913716266
110,133,365.81161730973014
111,134,364.8367938477841
112,135,364.4944350782273
113,137,362.7713293125818
114,138,363.7170634500655
115,139,366.2236507600524
116,141,363.74454560804196
117,142,360.12063648643357
118,143,354.59650918914684
119,145,350.61470735131746
120,146,346.444890881054
121,147,343.2184127048432
122,148,340.63723016387456
123,149,336.82228413109965
124,150,333.33282730487974
125,151,328.3537618439038
126,152,323.276759475123
127,154,313.03547008009843
128,155,302.38150106407875
129,157,282.920825851263
130,158,266.58666068101036
131,160,254.8318285448083
132,161,242.80296283584664
133,162,230.55487026867732
134,165,213.31889621494187
135,166,198.2176169719535
136,167,188.32409357756282
137,168,178.22177486205027
138,169,164.26101363964023
139,170,153.28381091171218
140,172,143.18954872936973
141,173,135.5516389834958
142,174,128.89443618679664
143,175,123.67804894943731
144,177,122.78618915954985
145,178,120.54145132763989
146,179,118.52691106211192
147,181,118.99340384968954
148,183,119.25722307975164
149,184,119.90577846380131
150,186,116.92462277104106
151,187,113.99282321683285
152,188,111.75675857346629
