,x,y
0,18.18181818181818,1400.0
1,18.972332015810277,1408.75
2,18.972332015810277,1391.25
3,19.76284584980237,1408.75
4,19.76284584980237,1391.25
5,20.553359683794465,1408.75
6,20.553359683794465,1391.25
7,21.343873517786562,1408.75
8,22.134387351778656,1400.0
9,22.92490118577075,1400.0
10,22.92490118577075,1382.5
11,23.715415019762844,1400.0
12,27.66798418972332,1382.5
13,27.66798418972332,1373.75
14,27.66798418972332,1365.0
15,28.458498023715414,1382.5
16,30.039525691699605,1373.75
17,30.039525691699605,1356.25
18,30.8300395256917,1373.75
19,30.8300395256917,1356.25
20,31.620553359683793,1373.75
21,33.201581027667984,1365.0
22,37.15415019762846,1356.25
23,38.73517786561265,1356.25
24,38.73517786561265,1338.75
25,39.52569169960474,1356.25
26,40.316205533596836,1347.5
27,40.316205533596836,1330.0
28,41.10671936758893,1347.5
29,41.10671936758893,1330.0
30,41.897233201581024,1347.5
31,45.8498023715415,1321.25
32,46.640316205533594,1330.0
33,46.640316205533594,1312.5
34,47.43083003952569,1330.0
35,47.43083003952569,1312.5
36,48.22134387351779,1330.0
37,48.22134387351779,1312.5
38,49.01185770750988,1330.0
39,49.01185770750988,1312.5
40,49.80237154150198,1330.0
41,49.80237154150198,1312.5
42,50.59288537549407,1330.0
43,51.383399209486164,1321.25
44,51.383399209486164,1312.5
45,55.33596837944664,1312.5
46,55.33596837944664,1303.75
47,56.126482213438734,1321.25
48,56.91699604743083,1312.5
49,57.70750988142292,1312.5
50,57.70750988142292,1295.0
51,58.498023715415016,1312.5
52,58.498023715415016,1295.0
53,60.07905138339921,1321.25
54,60.869565217391305,1321.25
55,60.869565217391305,1303.75
56,63.241106719367586,1295.0
57,63.241106719367586,1286.25
58,64.03162055335969,1295.0
59,64.03162055335969,1277.5
60,64.82213438735178,1295.0
61,64.82213438735178,1268.75
62,65.61264822134387,1286.25
63,65.61264822134387,1260.0
64,66.40316205533597,1277.5
65,67.19367588932806,1268.75
66,67.19367588932806,1251.25
67,67.98418972332016,1268.75
68,71.93675889328063,1251.25
69,71.93675889328063,1242.5
70,72.72727272727272,1260.0
71,73.51778656126483,1251.25
72,74.30830039525692,1251.25
73,74.30830039525692,1233.75
74,75.09881422924902,1251.25
75,75.09881422924902,1233.75
76,75.88932806324111,1251.25
77,75.88932806324111,1233.75
78,76.6798418972332,1251.25
79,76.6798418972332,1233.75
80,77.4703557312253,1251.25
81,81.42292490118577,1242.5
82,81.42292490118577,1233.75
83,81.42292490118577,1225.0
84,82.21343873517786,1242.5
85,83.79446640316205,1233.75
86,83.79446640316205,1216.25
87,84.58498023715416,1233.75
88,84.58498023715416,1216.25
89,85.37549407114625,1233.75
90,85.37549407114625,1216.25
91,86.16600790513834,1233.75
92,86.16600790513834,1216.25
93,86.95652173913044,1233.75
94,86.95652173913044,1225.0
95,86.95652173913044,1216.25
96,89.32806324110672,1198.75
97,89.32806324110672,1190.0
98,89.32806324110672,1181.25
99,90.11857707509881,1198.75
100,90.11857707509881,1172.5
101,90.9090909090909,1190.0
102,90.9090909090909,1163.75
103,91.699604743083,1181.25
104,91.699604743083,1155.0
105,91.699604743083,1146.25
106,92.4901185770751,1172.5
