,x,y
0,18,1397.8125
1,19,1398.25
2,20,1398.6000000000001
3,21,1400.63
4,22,1398.7540000000001
5,23,1399.0032
6,27,1393.5150600000002
7,28,1391.3120480000002
8,30,1385.6121384000003
9,31,1383.2397107200002
10,33,1379.5917685760003
11,37,1374.9234148608002
12,38,1369.4387318886402
13,39,1366.8009855109121
14,40,1361.1907884087298
15,41,1357.577630726984
16,45,1350.3121045815872
17,46,1344.4996836652697
18,47,1339.8497469322158
19,48,1336.1297975457726
20,49,1332.716338036618
21,50,1332.1730704292945
22,51,1329.1134563434357
23,55,1324.9157650747486
24,56,1323.3076120597989
25,57,1319.396089647839
26,58,1316.2668717182712
27,60,1315.513497374617
28,63,1310.5357978996935
29,64,1304.3661383197548
30,65,1298.1179106558038
31,66,1293.9943285246432
32,67,1288.0704628197145
33,71,1279.8313702557716
34,72,1275.8650962046172
35,73,1270.9420769636938
36,74,1265.253661570955
37,75,1260.265429256764
38,76,1256.7123434054113
39,77,1255.619874724329
40,81,1250.8083997794633
41,82,1249.1467198235707
42,83,1244.3173758588566
43,84,1240.4539006870853
44,85,1237.363120549668
45,86,1234.2342464397345
46,89,1224.9498971517876
47,90,1215.11616772143
48,91,1203.530434177144
49,92,1197.324347341715
50,93,1188.859477873372
51,94,1174.2125822986977
52,95,1163.3700658389582
53,96,1152.9460526711666
54,97,1146.3568421369332
55,98,1137.1479737095465
56,99,1130.2183789676371
57,100,1124.6747031741097
58,101,1120.2397625392878
59,103,1118.4418100314301
60,104,1120.503448025144
61,105,1121.4965084201153
62,106,1124.6972067360923
63,107,1127.2577653888738
64,108,1131.056212311099
65,111,1131.4699698488791
66,112,1134.4259758791034
67,113,1136.5720307032827
68,114,1141.1326245626262
69,115,1145.656099650101
70,116,1141.3998797200807
71,117,1137.1199037760646
72,118,1132.8209230208518
73,119,1126.7567384166814
74,120,1120.155390733345
75,122,1102.186812586676
76,123,1085.1869500693408
77,124,1069.6183100554726
78,125,1055.194648044378
79,128,1035.5619684355024
80,130,1017.449574748402
81,131,999.8971597987216
82,132,985.4177278389774
83,133,962.8966822711819
84,134,945.3173458169456
85,135,932.1288766535565
86,139,906.2656013228452
87,140,886.0124810582762
88,141,869.372484846621
89,144,856.0604878772969
90,145,847.5983903018375
91,148,838.20371224147
92,149,833.3129697931761
93,150,827.2128758345409
94,151,826.2703006676328
95,152,823.7662405341063
96,153,825.2629924272851
97,154,824.7103939418281
98,157,832.1433151534625
99,158,839.4021521227701
100,159,847.3967216982161
101,160,854.6673773585729
102,161,863.9839018868583
103,165,874.0621215094867
104,166,883.8746972075894
105,167,890.8497577660715
106,168,896.4298062128573
107,169,902.643844970286
108,172,903.2400759762288
109,173,899.560810780983
110,174,893.3361486247865
111,175,891.4189188998292
112,176,885.5101351198634
113,177,872.4706080958908
114,178,860.7264864767127
115,179,846.9561891813702
116,180,838.5649513450962
117,181,828.351961076077
118,182,804.4315688608617
119,184,784.4202550886894
120,185,765.7862040709515
121,189,750.4414632567613
122,190,738.603170605409
123,191,730.8825364843273
124,192,722.9560291874618
125,193,718.3648233499695
126,195,724.3168586799756
127,196,726.8909869439805
128,197,730.2627895551844
129,198,727.7102316441476
130,199,726.543185315318
131,200,726.4845482522545
