Wall time,Step,Value
1640775857.4674828,3,99.03649139404297
1640775868.5616682,4,90.6331787109375
1640775878.4713902,5,84.10787200927734
1640775887.862865,6,84.44135284423828
1640775897.3425117,7,70.9996566772461
1640775907.1324823,8,76.13825225830078
1640775916.8512356,9,64.05680084228516
1640775926.0487137,10,67.2412338256836
1640775934.9798937,11,57.394344329833984
1640775944.953463,12,55.07468795776367
1640775954.143068,13,46.60560607910156
1640775962.3856514,14,65.34490966796875
1640775970.2824528,15,52.12541580200195
1640775979.2883599,16,54.6323127746582
1640775987.3385825,17,51.193485260009766
1640775995.243175,18,51.51424026489258
1640776003.6546812,19,55.88467788696289
1640776011.565819,20,43.53017044067383
1640776020.193106,21,35.22183609008789
1640776029.0333028,22,47.69384765625
1640776037.487374,23,48.430904388427734
1640776046.5110724,24,35.574893951416016
1640776054.387924,25,40.67899703979492
1640776062.362005,26,38.584476470947266
1640776070.692546,27,35.26249313354492
1640776078.8660672,28,39.24781799316406
1640776086.5690637,29,35.881473541259766
1640776094.4737804,30,38.06309509277344
1640776103.1053379,31,22.447919845581055
1640776111.1134307,32,33.018035888671875
1640776119.2313387,33,28.73050880432129
1640776127.0022967,34,29.262588500976562
1640776135.0470834,35,33.473628997802734
1640776144.5641468,36,38.314823150634766
1640776152.2121854,37,21.414403915405273
1640776160.0675106,38,31.160558700561523
1640776167.6866703,39,35.07249069213867
1640776176.1243238,40,26.462005615234375
1640776183.899152,41,29.88262176513672
1640776191.6965535,42,41.431278228759766
1640776199.5542443,43,19.94071388244629
1640776207.4010189,44,26.4261417388916
1640776215.2440555,45,32.54807662963867
1640776223.045724,46,30.04486846923828
1640776230.593115,47,27.883132934570312
1640776238.4032412,48,50.86680221557617
1640776246.1453922,49,25.950706481933594
1640776253.4841642,50,27.28666877746582
1640776260.9531212,51,28.802438735961914
1640776268.3499403,52,32.92306137084961
1640776275.826375,53,27.344955444335938
1640776283.90413,54,30.420568466186523
1640776291.8977542,55,18.623056411743164
1640776299.4024205,56,28.844228744506836
1640776306.9201994,57,25.884193420410156
1640776314.4278362,58,21.69499397277832
1640776321.871315,59,26.410337448120117
1640776329.3030558,60,22.853647232055664
1640776337.0127895,61,30.62434959411621
1640776344.7619965,62,18.988435745239258
1640776352.2770867,63,25.446348190307617
1640776359.8042846,64,13.560633659362793
1640776367.335391,65,22.495927810668945
1640776374.8179042,66,14.975153923034668
1640776382.244773,67,23.01752471923828
1640776389.5394208,68,17.99896812438965
1640776396.8275414,69,27.518577575683594
1640776404.2969577,70,34.260223388671875
1640776411.7942984,71,23.254432678222656
1640776419.4006515,72,11.550090789794922
1640776426.972095,73,27.761682510375977
1640776434.4221964,74,16.68653678894043
1640776441.9195106,75,19.06767463684082
1640776449.478417,76,18.592206954956055
1640776457.0224404,77,11.812567710876465
1640776464.6766675,78,26.001419067382812
1640776472.169415,79,10.775973320007324
1640776479.6190324,80,19.347429275512695
1640776487.664789,81,16.88143539428711
1640776495.359038,82,15.420866966247559
1640776503.0978315,83,20.754426956176758
1640776510.8662162,84,19.02066421508789
1640776518.7493558,85,11.68789005279541
1640776526.702933,86,16.939937591552734
1640776534.5815914,87,13.311664581298828
1640776542.2542756,88,19.44081687927246
1640776550.0584607,89,14.615290641784668
1640776557.711926,90,19.956647872924805
1640776565.4739437,91,15.640284538269043
1640776573.3627236,92,22.32740020751953
1640776581.3110352,93,14.08551025390625
1640776589.451797,94,15.560039520263672
1640776597.3577561,95,23.28888511657715
1640776605.2584443,96,15.031108856201172
1640776613.2067962,97,14.359442710876465
1640776621.4296877,98,18.0950984954834
1640776629.6523876,99,11.95052433013916
1640776637.5191274,100,6.429780960083008
