Wall time,Step,Value
1640776928.7755044,3,197.00633239746094
1640776939.5182521,4,211.9735107421875
1640776949.3399708,5,205.96417236328125
1640776958.2520607,6,190.18556213378906
1640776967.4356654,7,176.17919921875
1640776976.677506,8,186.8893280029297
1640776986.1833208,9,160.16696166992188
1640776994.9217987,10,172.98301696777344
1640777003.8298764,11,167.06166076660156
1640777013.7677114,12,166.79429626464844
1640777022.8259923,13,125.4616470336914
1640777030.7959886,14,149.1726837158203
1640777038.692058,15,157.48275756835938
1640777047.304806,16,114.36699676513672
1640777055.124342,17,131.54132080078125
1640777063.2277544,18,91.21304321289062
1640777071.2276773,19,115.4218521118164
1640777078.8967564,20,92.72444915771484
1640777087.2054436,21,103.0112075805664
1640777095.469982,22,99.4739761352539
1640777103.5767593,23,68.73210906982422
1640777112.3176885,24,50.97175598144531
1640777120.1264987,25,76.82394409179688
1640777127.9482324,26,69.27034759521484
1640777136.0282164,27,85.47408294677734
1640777143.950533,28,84.29239654541016
1640777151.5200644,29,64.93123626708984
1640777159.2565355,30,68.39555358886719
1640777167.6634166,31,104.7026596069336
1640777176.2635813,32,63.82365798950195
1640777185.641366,33,57.47397994995117
1640777193.4117575,34,70.33930206298828
1640777201.1205578,35,57.96636962890625
1640777210.1444697,36,87.39749908447266
1640777217.7671213,37,70.0137710571289
1640777225.3696954,38,58.97101974487305
1640777232.924403,39,53.18547058105469
1640777241.432471,40,66.8111343383789
1640777249.1566055,41,46.710357666015625
1640777256.9567103,42,46.7348518371582
1640777264.6992724,43,36.780555725097656
1640777272.4305246,44,32.7765007019043
1640777280.120457,45,43.08378982543945
1640777287.9024148,46,24.392969131469727
1640777295.3653588,47,36.12074279785156
1640777303.0274286,48,29.557546615600586
1640777310.5034747,49,35.315948486328125
1640777317.8585627,50,27.358549118041992
1640777325.316711,51,23.678102493286133
1640777333.0974586,52,24.58931541442871
1640777340.8326693,53,30.789413452148438
1640777348.45234,54,23.800107955932617
1640777356.0344584,55,34.197383880615234
1640777363.3136446,56,28.61821174621582
1640777370.7173421,57,32.254486083984375
1640777378.053656,58,31.074386596679688
1640777385.3224604,59,27.644258499145508
1640777392.5246818,60,27.283836364746094
1640777400.081564,61,14.329410552978516
1640777407.5036871,62,19.561555862426758
1640777414.7805076,63,30.7684383392334
1640777422.1144242,64,23.11255645751953
1640777429.4647844,65,20.278732299804688
1640777436.8166301,66,14.702515602111816
1640777444.1785314,67,25.284387588500977
1640777451.4195971,68,18.00362777709961
1640777458.6394281,69,26.704782485961914
1640777465.8305042,70,21.29144859313965
1640777473.1425219,71,15.373698234558105
1640777480.5835752,72,25.308759689331055
1640777487.8256261,73,12.86877727508545
1640777495.0684948,74,17.731531143188477
1640777502.3633943,75,29.243989944458008
1640777509.738608,76,17.32401466369629
1640777517.0733573,77,28.77978515625
1640777524.5286045,78,29.183183670043945
1640777531.9505138,79,18.9558162689209
1640777539.3796096,80,35.6220588684082
1640777547.0825183,81,13.677725791931152
1640777554.6704495,82,15.084933280944824
1640777563.1144326,83,21.8155460357666
1640777571.0534937,84,12.666675567626953
1640777579.5150363,85,22.348726272583008
1640777587.9766335,86,13.231059074401855
1640777596.1721601,87,17.32255744934082
1640777604.2280033,88,26.096864700317383
1640777612.3461826,89,31.041351318359375
1640777620.2519948,90,17.836612701416016
1640777628.6832895,91,9.096356391906738
1640777637.1236203,92,18.519451141357422
1640777645.203792,93,15.663939476013184
1640777655.407228,94,23.808183670043945
1640777663.7543938,95,14.96960735321045
1640777672.7591236,96,17.656278610229492
1640777682.0340867,97,17.66602325439453
1640777691.2905316,98,27.848390579223633
1640777700.8202136,99,12.088067054748535
1640777710.0686533,100,18.64961814880371
